amount,avg_txn_amount,amount_deviation,txn_frequency_24h,txn_hour,is_new_beneficiary,prior_suspicious_count,account_age_days,balance_to_amount_ratio,is_transfer,is_fraud
12841.1,13900.32,-0.0762,3,17,0,0,961,21.1633,0,0
33719.32,20736.4,0.6261,0,12,0,0,671,1.0698,1,0
8308.41,8299.18,0.0011,0,5,0,0,171,28.3529,1,0
26412.94,19275.96,0.3702,2,6,0,0,1827,7.0314,0,0
10901.06,8263.58,0.3191,0,14,0,0,1283,7.9186,1,0
14948.09,17504.22,-0.146,3,17,1,0,235,20.347,0,0
895.86,5580.42,-0.8393,0,17,0,0,505,154.1392,1,0
2764.78,7922.94,-0.651,2,11,0,0,744,105.1572,0,0
28207.24,23694.88,0.1904,1,13,0,0,229,6.8429,0,0
4447.03,10395.7,-0.5722,2,5,0,0,1614,51.3256,1,0
9239.83,7599.9,0.2158,2,13,0,0,1160,18.4521,0,0
10680.51,16952.9,-0.37,0,10,1,0,1043,12.2729,0,0
5906.26,9648.83,-0.3878,3,14,0,0,1571,65.6345,1,0
13563.95,9797.96,0.3843,1,11,1,0,1607,21.2276,0,0
5329.49,5319.5,0.0019,3,16,0,0,161,66.5393,0,0
4435.91,7401.69,-0.4006,1,20,0,0,1087,43.3245,1,0
13378.0,22856.11,-0.4147,1,10,0,0,724,6.4511,0,0
409482.43,10815.62,36.8569,7,1,1,3,387,0.022,1,1
18560.18,13633.69,0.3613,0,23,0,0,1978,6.0855,0,0
4235.52,11516.75,-0.6322,1,11,0,0,312,38.5568,0,0
9488.83,13703.08,-0.3075,3,16,0,0,425,37.554,0,0
4161.73,6723.62,-0.381,1,11,1,0,508,78.0889,0,0
3672.8,3784.0,-0.0294,3,19,0,0,430,19.6016,0,0
7990.74,6449.34,0.239,1,5,1,0,1031,45.562,1,0
29273.83,23710.96,0.2346,0,7,0,0,131,8.4224,1,0
16381.7,18257.54,-0.1027,2,7,0,0,640,10.1173,1,0
12862.51,9608.65,0.3386,2,18,0,0,635,30.6286,1,0
40096.38,24606.55,0.6295,2,21,0,0,1521,4.9797,0,0
7136.64,9110.14,-0.2166,1,10,0,0,1712,44.5559,0,0
21172.37,18310.66,0.1563,0,15,0,0,1714,12.2011,0,0
3238.25,3832.38,-0.155,3,13,0,0,1954,44.8672,1,0
27162.79,23684.39,0.1469,2,23,0,0,424,9.5434,1,0
6558.66,7015.02,-0.065,2,14,1,0,1600,8.0551,0,0
24003.95,22058.02,0.0882,3,17,0,0,785,1.5031,0,0
20977.64,16185.15,0.2961,1,17,0,0,275,4.7796,0,0
17946.59,12170.94,0.4745,3,17,0,0,1303,8.742,0,0
13258.71,16508.11,-0.1968,0,7,0,0,77,22.7641,1,0
4184.54,4263.05,-0.0184,0,22,0,0,1071,49.5236,1,0
22114.52,15054.36,0.4689,2,13,0,0,1740,11.7555,1,0
12498.68,12426.95,0.0058,3,9,0,0,448,5.7818,1,0
3451.5,6202.54,-0.4435,1,7,0,0,813,93.0217,1,0
18820.57,21807.18,-0.1369,3,2,1,0,1932,3.4947,0,0
7624.24,6842.02,0.1143,1,16,0,0,401,28.467,0,0
21265.72,20156.26,0.055,1,8,0,0,71,4.9628,1,0
14855.31,11755.34,0.2637,1,17,0,0,173,9.2269,1,0
7927.96,5533.47,0.4327,2,7,0,0,332,38.5878,1,0
36406.26,21378.63,0.7029,3,17,0,0,1550,5.0932,0,0
15861.26,9420.55,0.6836,2,21,0,0,1649,16.5836,0,0
21875.19,12981.92,0.685,1,12,0,0,1310,5.4894,0,0
23891.54,20719.46,0.1531,1,16,0,0,635,11.3425,0,0
10106.14,21648.72,-0.5332,1,12,0,0,801,23.5585,0,0
12205.91,20252.81,-0.3973,1,16,0,0,1350,11.3972,1,0
13157.79,16161.7,-0.1859,2,12,0,0,215,25.196,0,0
14159.45,10092.45,0.4029,2,13,0,0,440,17.0943,1,0
6530.51,8452.29,-0.2273,1,21,1,0,885,57.0224,1,0
22656.1,20167.37,0.1234,3,11,0,0,1950,3.2524,0,0
20950.46,21611.27,-0.0306,1,11,0,0,423,3.8671,0,0
11229.32,11960.14,-0.0611,1,22,0,0,1065,7.5535,0,0
10213.06,7150.67,0.4282,3,8,0,0,1162,19.6209,1,0
5761.04,5314.18,0.0841,2,15,0,0,1395,51.7748,1,0
4079.11,7528.3,-0.4581,3,20,0,0,1560,72.1507,0,0
4298.55,4562.29,-0.0578,3,16,0,0,539,10.2752,1,0
3002.71,3711.1,-0.1908,3,19,0,0,884,92.2897,1,0
26754.72,17792.22,0.5037,2,16,0,0,1181,14.3582,0,0
23925.78,21777.14,0.0987,3,8,0,0,1335,13.6569,0,0
5028.45,8927.24,-0.4367,1,21,0,0,1022,18.176,1,0
7722.39,10869.4,-0.2895,0,9,1,0,811,36.3356,0,0
15370.31,10374.25,0.4815,1,7,0,0,889,5.3091,0,0
7285.62,15411.71,-0.5272,1,13,0,0,701,5.9655,1,0
11120.12,14836.12,-0.2505,2,13,0,0,319,8.7621,1,0
6506.22,5356.62,0.2146,1,14,1,0,36,17.3395,0,0
22584.51,12984.88,0.7392,0,3,0,0,911,4.542,0,0
5927.4,5044.16,0.1751,2,15,0,0,983,9.608,0,0
20128.74,18073.27,0.1137,1,14,0,0,1812,15.0322,0,0
17621.29,19541.96,-0.0983,3,17,0,0,1851,17.6767,1,0
278168.55,7020.61,38.6162,8,2,1,0,268,0.2033,1,1
4083.67,5336.05,-0.2347,0,8,0,0,228,27.3854,0,0
25553.29,18728.26,0.3644,1,16,0,0,35,8.6185,0,0
31793.12,18932.77,0.6792,2,5,0,0,571,12.3412,1,0
10250.13,11793.59,-0.1309,0,6,0,0,1418,10.9301,0,0
18238.22,15581.76,0.1705,0,20,0,0,962,13.4327,1,0
4540.88,6352.83,-0.2852,1,17,0,0,1806,71.7316,1,0
385024.08,13356.2,27.8253,5,0,1,3,372,0.0982,1,1
27636.51,22078.16,0.2517,1,4,0,0,856,12.0122,0,0
9204.2,6198.24,0.4849,2,9,0,0,253,3.5115,0,0
8030.29,6150.32,0.3056,1,11,0,0,1831,41.004,1,0
14140.96,11744.77,0.204,2,11,0,0,1556,20.4691,1,0
9277.39,6003.18,0.5453,2,21,0,0,1710,37.1483,0,0
1930.28,3998.13,-0.5171,1,13,0,0,348,177.0939,0,0
13704.09,15983.7,-0.1426,0,7,0,0,1076,8.0742,0,0
12402.15,13585.82,-0.0871,0,17,1,0,146,30.0565,0,0
16590.59,18161.23,-0.0865,0,9,0,0,1752,4.3987,0,0
31890.2,19579.07,0.6288,1,16,0,0,516,1.8482,1,0
5973.89,5204.57,0.1478,2,7,0,0,1570,61.4231,0,0
11838.31,9161.61,0.2921,3,7,0,0,993,20.4363,1,0
25771.33,21140.82,0.219,1,13,1,0,1830,9.6942,0,0
16082.71,14057.5,0.1441,1,7,0,0,404,3.848,1,0
38303.96,5261.29,6.2791,9,6,1,3,266,0.1944,1,1
5886.41,9501.93,-0.3805,1,12,0,0,1053,6.9192,1,0
8189.85,24627.91,-0.6674,0,16,0,0,1229,6.2967,0,0
23611.4,20311.98,0.1624,1,17,0,0,72,6.085,1,0
36682.33,23509.35,0.5603,2,20,0,0,778,5.8773,0,0
24821.07,15705.19,0.5804,2,10,0,0,1434,0.9539,1,0
19866.78,18066.63,0.0996,3,22,0,0,1034,5.9284,0,0
10722.9,14009.51,-0.2346,1,10,1,0,1631,29.6063,0,0
12209.54,8690.52,0.4049,0,9,0,0,363,27.4951,1,0
9336.29,8397.74,0.1117,1,6,0,0,72,11.3327,1,0
10182.54,11847.07,-0.1405,0,15,0,0,1307,19.0832,0,0
10365.62,15024.74,-0.3101,1,13,0,0,291,38.2058,0,0
10163.69,13632.15,-0.2544,2,8,0,0,728,12.5756,0,0
293717.86,10659.61,26.5518,7,18,1,3,114,0.0419,1,1
399816.03,10037.2,38.8295,6,23,1,1,217,0.08,1,1
6083.66,5553.97,0.0954,0,11,0,0,1461,64.415,0,0
6097.3,5368.54,0.1357,1,23,0,0,439,31.2897,0,0
19410.08,23085.44,-0.1592,1,8,0,0,1450,16.6044,0,0
12460.99,14647.19,-0.1492,3,17,1,0,249,2.1276,1,0
22563.37,16196.08,0.3931,0,16,0,0,1612,7.9143,1,0
6203.6,20574.67,-0.6984,3,11,0,0,52,20.5224,0,0
3735.35,18298.59,-0.7958,1,11,0,0,1709,99.9686,0,0
31305.42,23919.31,0.3088,1,8,0,0,1513,9.0161,1,0
18829.96,23426.01,-0.1962,3,20,0,0,1062,14.0035,0,0
2672.61,3223.09,-0.1707,0,6,0,0,740,32.8759,0,0
19363.28,23195.89,-0.1652,3,12,0,0,310,3.3865,1,0
12371.65,6929.69,0.7852,3,13,0,0,475,6.5034,0,0
20743.58,16888.01,0.2283,0,5,0,0,672,11.4354,0,0
8184.89,6957.26,0.1764,3,2,1,0,893,33.7903,0,0
12121.72,10978.44,0.1041,2,7,0,0,1330,18.2905,1,0
7194.89,5188.12,0.3867,2,7,0,0,556,51.9479,0,0
12191.07,12604.08,-0.0328,2,0,0,0,234,18.9494,0,0
5144.65,5209.65,-0.0125,2,7,0,0,1745,55.9578,1,0
18283.53,24333.99,-0.2486,1,11,0,0,1250,1.8003,1,0
15655.8,17255.34,-0.0927,1,13,0,0,707,25.1573,1,0
23616.64,17383.98,0.3585,3,17,0,0,559,11.63,1,0
31861.14,24531.94,0.2987,3,15,0,0,1119,12.2976,0,0
5712.89,5226.18,0.0931,0,10,0,0,964,47.052,0,0
29189.38,23759.31,0.2285,0,9,0,0,845,10.9838,1,0
5485.76,6024.81,-0.0895,1,12,0,0,1295,14.1051,1,0
18918.52,11350.79,0.6667,2,19,1,0,1117,4.1309,0,0
25634.36,20931.34,0.2247,2,6,0,0,1830,1.2337,1,0
22211.21,23561.74,-0.0573,3,14,0,0,403,1.4859,0,0
26692.38,22431.71,0.1899,1,12,1,0,316,1.5444,0,0
9642.86,7241.85,0.3315,1,16,0,0,1501,6.5125,0,0
319737.23,9041.53,34.3594,8,2,1,2,342,0.091,1,1
12500.27,19581.23,-0.3616,0,10,0,0,960,11.1194,0,0
33167.17,18913.94,0.7535,3,17,0,0,827,7.6131,0,0
13897.21,9117.91,0.5241,0,14,0,0,1455,14.7877,1,0
7454.47,7827.16,-0.0476,0,3,0,0,1860,3.8906,1,0
19301.15,17684.31,0.0914,2,17,0,0,1579,2.7235,1,0
16781.41,22574.88,-0.2566,0,10,0,0,1853,3.0022,0,0
3934.98,5986.64,-0.3426,3,5,0,0,1815,56.689,0,0
10106.18,19031.85,-0.469,1,10,0,0,1782,14.815,1,0
31337.71,24514.04,0.2783,3,12,0,0,618,11.3165,0,0
17226.2,20166.75,-0.1458,0,22,1,0,143,1.5573,1,0
10034.05,7191.97,0.3951,3,10,0,0,453,12.8973,1,0
8632.53,18220.5,-0.5262,2,14,0,0,362,39.8172,0,0
16123.27,21713.09,-0.2574,0,3,0,0,1768,4.3887,1,0
11714.64,10780.93,0.0866,3,23,0,0,1925,19.8671,1,0
9018.17,10404.1,-0.1332,1,22,0,0,805,15.4987,1,0
14124.96,17813.17,-0.207,1,17,1,0,1983,2.8328,0,0
6758.49,9223.66,-0.2672,2,4,0,0,1419,36.5703,0,0
15957.88,13689.86,0.1657,1,6,0,0,1099,13.3897,0,0
52708.64,3665.25,13.377,6,18,1,0,110,1.0351,1,1
7550.05,4398.8,0.7162,0,11,0,0,1755,36.45,0,0
4396.65,7321.5,-0.3994,0,16,1,0,1769,67.9333,1,0
21613.66,19684.86,0.098,0,23,0,0,983,15.1533,1,0
9429.48,8782.99,0.0736,1,6,1,0,1729,3.1448,0,0
7502.77,7456.31,0.0062,3,22,0,0,681,27.6304,0,0
13775.75,14358.74,-0.0406,3,13,0,0,394,13.4314,0,0
11466.59,15024.79,-0.2368,1,14,0,0,1609,5.3329,0,0
3384.24,4070.62,-0.1686,1,7,0,0,87,33.9373,1,0
25041.32,16560.15,0.5121,0,22,1,0,651,10.1957,0,0
27257.05,20681.08,0.318,3,16,0,0,1741,4.7575,1,0
20720.46,22692.6,-0.0869,2,10,0,0,1990,3.1184,0,0
3922.49,4011.39,-0.0222,1,23,0,0,722,73.3367,1,0
19009.74,15002.92,0.2671,1,16,0,0,1772,13.3035,0,0
27621.98,23813.36,0.1599,3,12,1,0,641,0.9927,1,0
17998.87,21927.94,-0.1792,1,9,0,0,1594,11.4869,0,0
30628.22,22206.04,0.3793,0,16,0,0,285,5.2584,0,0
10315.96,20650.6,-0.5004,3,10,0,0,1889,31.0199,1,0
15441.88,9811.05,0.5739,1,22,1,0,251,16.5214,0,0
5433.1,14105.48,-0.6148,0,22,0,0,911,41.479,1,0
9806.74,21131.0,-0.5359,0,9,0,0,1842,25.1927,0,0
5761.39,6923.16,-0.1678,3,9,0,0,1242,37.9149,1,0
22617.38,20980.37,0.078,2,16,0,0,1939,8.6551,0,0
28200.25,18924.86,0.4901,0,14,0,0,784,6.7934,1,0
22205.69,15110.91,0.4695,2,20,0,0,1499,5.2218,0,0
125921.04,3208.04,38.2397,6,12,1,2,57,0.1429,1,1
23653.67,21724.15,0.0888,1,18,0,0,1716,10.0616,0,0
25532.53,17038.32,0.4985,0,7,1,0,955,12.5497,1,0
6258.82,7861.42,-0.2038,1,9,0,0,1404,13.7298,0,0
16990.91,14912.32,0.1394,3,22,1,0,754,10.2096,1,0
17445.4,17535.91,-0.0052,1,6,0,0,1663,11.4703,1,0
16944.93,11621.98,0.458,2,12,0,0,446,20.903,0,0
15192.65,11287.84,0.3459,1,16,0,0,776,20.6018,1,0
111824.78,4219.88,25.4935,3,2,1,2,68,0.0449,1,1
3440.26,5933.46,-0.4201,2,22,1,0,1284,67.531,1,0
11569.97,16047.88,-0.279,0,9,0,0,374,12.7467,1,0
3191.62,4007.68,-0.2036,2,12,0,0,1181,34.9692,0,0
11704.27,12932.78,-0.095,1,8,0,0,1723,30.0661,0,0
31214.84,24416.79,0.2784,3,18,0,0,1213,2.986,0,0
14444.21,13377.06,0.0798,1,23,0,0,1375,10.7873,0,0
19582.01,12786.59,0.5314,3,14,0,0,1185,4.4566,0,0
2656.9,12732.27,-0.7913,3,8,0,0,585,44.1885,1,0
18281.22,18292.19,-0.0006,2,7,1,0,1781,19.7957,0,0
14244.52,11003.48,0.2945,2,12,1,0,1462,9.4583,0,0
15874.23,17533.56,-0.0946,2,6,0,0,432,11.7886,0,0
2689.31,3011.94,-0.1071,3,9,0,0,1422,139.2896,0,0
11248.21,12098.32,-0.0703,1,14,0,0,1045,21.7645,0,0
14935.13,15105.25,-0.0113,3,0,0,0,612,12.8489,1,0
16407.41,12994.81,0.2626,3,18,0,0,157,4.6129,0,0
11636.76,14095.91,-0.1744,3,20,0,0,1827,4.8629,1,0
8377.55,7261.82,0.1536,3,12,0,0,1919,46.3157,0,0
17358.13,23623.26,-0.2652,1,10,0,0,1395,15.1297,0,0
3593.3,4302.89,-0.1649,1,10,0,0,888,92.5153,0,0
18275.18,15660.05,0.167,3,16,0,0,775,19.8559,1,0
19001.67,24136.28,-0.2127,0,0,0,0,1710,18.2176,0,0
9508.81,5603.72,0.6968,1,7,0,0,1258,37.8896,0,0
9780.06,17978.81,-0.456,0,20,0,0,662,7.3587,1,0
17083.44,21611.41,-0.2095,1,17,0,0,1304,18.3415,0,0
244598.59,8598.63,27.443,7,18,1,0,58,0.0325,1,1
1633.89,7093.06,-0.7695,2,16,0,0,1283,39.6046,0,0
5069.3,7203.89,-0.2963,1,9,0,0,617,60.5914,0,0
20371.87,15614.79,0.3046,3,9,0,0,695,14.2155,0,0
25329.13,24474.82,0.0349,3,5,0,0,1814,4.5148,0,0
18037.6,15854.68,0.1377,3,15,1,0,1528,14.5164,1,0
